*** A (/course/2194793/goethe-zertifikat-a1-wordlist/1/)
ab	from
der Empfänger	recipient
empfehlen	recommend
enden	end up
das Ende	end
entschuldigen	to apologize
die Entschuldigung	apology
das Ergebnis	result
erklären	to explain
erlauben	allow
essen	eat
das Essen	the food
*** F (/course/2194793/goethe-zertifikat-a1-wordlist/6/)
fahren	drive
der Fahrer	driver
die Fahrkarte	ticket
das Fahrrad	bike
falsch	not correct
die Familie	family
der Familienname	family name
der Familienstand	marital status
die Farbe	color
das Fax	fax
die Feier	party
feiern	celebrate
fehlen	absence
der Fehler	mistake
fernsehen	watch TV
der Fernseher	TV
fertig	ready; ok
fertig!	finished
das Feuer	fire
das Fieber	fever
der Film	film
finden	find
die Firma	company
der Fisch	fish
die Flasche	bottle
das Fleisch	meat
fliegen	to fly
abfliegen	depart
der Abflug	takeoff
der Flughafen	airport
das Flugzeug	plane
das Formular	form
das Foto	photo
fragen	ask
die Frage	question
die Frau	woman
frei	free
die Freizeit	free time
fremd	strange
freuen	looking forward
sich freuen	rejoice
der Freund	friend
früher	earlier
frühstücken	have breakfast
die Führung	leadership
für	for
der Fuß	the foot
der Fußball	football
*** G (/course/2194793/goethe-zertifikat-a1-wordlist/7/)
der Garten	garden
der Gast	guest
geben	give
geboren	born
das Geburtsjahr	year of birth
der Geburtsort	birthplace
der Geburtstag	birthday
gefallen	like
gegen	against
gehen	go
gehören	belong
das Geld	money
das Gemüse	vegetable
das Gepäck	luggage
gerade	just
geradeus	geradeus
gern(e)	with pleasure
das Geschäft	business
das Geschenk	gift
die Geschwister	siblings
das Gespräch	conversation
gestern	yesterday
das Getränk	drink
das Gewicht	weight
gewinnen	win
das Glas	glass
glauben	believe
gleich	same; immediately, at once
das Gleis	track
das Glück	luck
glücklich	happy
der Glückwunsch	congratulation
der Grad	degree
gratulieren	to congratulate
grillen	grilling
groß	large
die Größe	size
die Großeltern	grandparents
die Großmutter	grandmor
der Großvater	grandpa
die Gruppe	group
der Gruß	greeting
gültig	valid
günstig	cheap
gut	good; well
*** H (/course/2194793/goethe-zertifikat-a1-wordlist/8/)
das Haar	hair
haben	to have
das Hähnchen	chicken
die Halbpension	half board
die Halle	hall
hallo	ello
halten	hold
die Haltestelle	bus stop
die Hand	hand
das Handy	cell phone
das Haus	house
die Hausaufgabe	homework
die Hausfrau	housewife
der Hausmann	houseman
die Heimat	homeland
heiraten	marry
heißen	be called
helfen	help
hell	bright
der Herd	stove
der Herr	man
herzlich	warmly
heute	today
hier	here
die Hilfe	help
hinten	behind
das Hobby	hobby
hoch	high
die Hochzeit	wedding
holen	pick up
hören	hear
das Hotel	hotel
der Hund	dog
der Hunger	hunger
*** I (/course/2194793/goethe-zertifikat-a1-wordlist/9/)
ich	I
ihr	their
ihm	him
ihn	him
immer	always
in	in
die Information	information
international	international
das Internet	Internet
*** J (/course/2194793/goethe-zertifikat-a1-wordlist/10/)
ja	yes
die Jacke	jacket
jetzt	now
der Job	job
der Jugendliche	adolescent
jung	young
der Junge	boy
*** K (/course/2194793/goethe-zertifikat-a1-wordlist/11/)
der Kaffee	coffee
kaputt	broken
die Karte	map
die Kartoffel	potato
die Kasse	cash register
kaufen	to buy
kein	no
kennen	know
kennenlernen	to get to know
das Kind	child
der Kindergarten	kindergarten
das Kino	cinema
der Kiosk	kiosk
klar	clear
die Klasse	class
die Kleidung	clothing
klein	small
kochen	cook
der Koffer	suitcase
der Kollege	colleague
kommen	come
können	can
das Konto	account
der Kopf	head
kosten	costs
krank	sick
kriegen	get
kriegen etwas	get something
die Küche	kitchen
der Kuchen	cake
der Kugelschreiber	ballpen
der Kühlschrank	refrigerator
kulturell	cultural
sich kümmern	take care of
der Kunde	customer
der Kurs	course
kurz	short
*** L (/course/2194793/goethe-zertifikat-a1-wordlist/12/)
lachen	laugh
der Laden	store
das Land	country
lang/lange	long
langsam	slowly
laufen	to run
laut	loud
leben	life
das Leben	life
die Lebensmittel	food
ledig	single
legen	lay
der Lehrer	teacher
leicht	light
leider	unfortunately
leise	quietly
lernen	learn
lesen	read
letzt-	ultimately
die Leute	people
das Licht	light
lieben	love
lieber	rather
Lieblings-	favorite-
das Lied	song
liegen	lie
links	left
der Lkw	truck
das Lokal	restaurant
die Lösung	solution
lustig	funny
*** M (/course/2194793/goethe-zertifikat-a1-wordlist/13/)
machen	do
das Mädchen	girl
der Mann	man
männlich	male
die Maschine	machine
das Meer	ocean
mehr	more
mein	my
meist-	most-
der Mensch	human being
die Miete	rent
die Milch	milk
mit	with
mitbringen	bring
mitkommen	come along
mitmachen	participate
mitnehmen	take
die Mitte	middle
das Möbel	furniture (singular)
die Möbel	furniture (plural)
möchten	would like
mögen	to like
möglich	possible
der Moment	moment
der Morgen	morning
müde	tired
der Mund	mouth
müssen	have to
die Mutter	mother
*** N (/course/2194793/goethe-zertifikat-a1-wordlist/14/)
nach	to
der Name	name
nehmen	to take
nein	no
neu	new
nicht	not
nichts	nothing
nie	never
noch	still
normal	normal
die Nummer	number
nur	just
*** O (/course/2194793/goethe-zertifikat-a1-wordlist/15/)
oben	above
das Obst	fruit
oder	or
öffnen; geöffnet	open; to open
oft	often
ohne	without
das Öl	oil
die Oma	grandmother
der Opa	grandpa
die Ordnung	order
der Ort	place
*** P (/course/2194793/goethe-zertifikat-a1-wordlist/16/)
das Papier, die Papiere	paper
der Partner, die Partnerin	partner
die Party	party
der Pass	passport
die Pause	break
der Plan	plan
der Platz	space
die Polizei	police
die Pommes frites	french fries
die Post	post
die Postleitzahl	area code
das Praktikum	internship
die Praxis	practice
der Preis	price
das Problem	problem
der Prospekt	prospectus
die Prüfung	exam
pünktlich	in time
*** Q (/course/2194793/goethe-zertifikat-a1-wordlist/17/)
*** R (/course/2194793/goethe-zertifikat-a1-wordlist/18/)
Rad fahren	to go biking
rauchen	smoke
der Raum	space
die Rechnung	invoice
rechts	right
regnen; der Regen	rain
der Reis	rice
reisen	to travel
die Reise	trip
das Reisebüro	travel agency
der Reiseführer	the guide
repairen; die Reparatur	repair
das Restaurant	restaurant
die Rezeption	reception
richtig	right
riechen	smell
ruhig	calm
*** S (/course/2194793/goethe-zertifikat-a1-wordlist/19/)
der Saft	juice
sagen	say
der Salat	salad
das Salz	salt
der Satz	sentence
die S-Bahn	suburban train
der Schalter	desk
scheinen	seem to be
schicken	send
das Schild	shield
der Schinken	ham
schlafen	sleep
schlecht	bad
schließen	shut down
geschlossen	closed
der Schluss	end
der Schlüssel	key
schmecken	taste
schnell	fast
schon	beautiful
schön	beautiful
der Schrank	cupboard
schreiben	write
der Schuh	shoe
die Schule	school
der Schüler	student
schwer	heavy; hard
die Schwester	sister
schwimmen	swim
das Schwimmbad	pool
der See	sea
die See	sea
sehen	see
die Sehenswürdigkeit	worth seeing; attraction (place)
sehr	very
sein	his
an sein	to be on
weg sein	gone away
zu sein	to be
seit	since
sie	they/her
Sie	you
sitzen	sit
sonst	otherwise
das Sofa	sofa
sofort	immediately
der Sohn	son
sollen	should
die Sonne	sun
spät	late
später	later
die Speisekarte	menu
spielen	play
der Sport	sport
die Sprache	language
sprechen	speak
die Stadt	city
stehen	stand
die Stelle	spot
stellen	put
der Stock	storey
die Straße	street
die Straßenbahn	tramway
studieren	to study
das Studium	studies
der Student	student
die Stunde	hour
suchen	search
*** T (/course/2194793/goethe-zertifikat-a1-wordlist/20/)
tanzen	dance
die Tasche	pocket
das Taxi	taxi
der Tee	tea
der Teil	part
telefonieren	to phone
das Telefon	telephone
der Termin	appointment
der Test	test
teuer	expensive
der Text	text
das Thema	topic
das Ticket	ticket
der Tisch	table
die Tochter	daughter
die Toilette	toilet
die Tomate	tomato
treffen	to meet
sich treffen	meet
die Treppe	stairs
trinken	drink
tschüss	bye
tun	do
*** U (/course/2194793/goethe-zertifikat-a1-wordlist/21/)
über	over
übernachten	stay
überweisen	transfer
die Uhr	clock; hour
umziehen	move
und	and
unser	our
unten	below
unter	under
der Unterricht	lesson
unterschreiben	sign
die Unterschrift	signature
der Urlaub	holiday
*** V (/course/2194793/goethe-zertifikat-a1-wordlist/22/)
der Vater	far
verboten	forbidden
verdienen	to earn
der Verein	union
verheiratet	married
verkaufen	selling
zu verkaufen	for sale
der Verkäufer, die Verkäuferin	seller/salesman, saleswoman
vermieten	rent
der Vermieter	landlord
die Vermieterin	landlady
verstehen	understand
der Verwandte	relative
viel	a lot of
vielleicht	perhaps
vor	in front
der Vorname	first name
die Vorsicht	caution
sich vorstellen	imagine
die Vorwahl	code
*** W (/course/2194793/goethe-zertifikat-a1-wordlist/23/)
wandern	hike
wann	when
warten	waiting
warum	why
was	what
was für ein	what a
sich waschen	to wash one self
das Wasser	water
weh tun	hurt
weiblich	Female
der Wein	wine
weit	far
weiter	continue; further
die Welt	world
wenig	little
wer	who
werden	become
das Wetter	wear
wichtig	important
wie	as
wiederholen	to repeat
wie viel	how much
willkommen	welcome
der Wind	wind
wir	we
wissen	knowledge
wo	where
woher	from where
wohin	where
wohnen	live
die Wohnung	apartment
wollen	want
das Wort	word
wunderbar	wonderful
*** Z (/course/2194793/goethe-zertifikat-a1-wordlist/24/)
zahlen	numbers
die Zeit	time
zurzeit	for now
die Zeitung	newspaper
die Zigarette	cigarette
das Zimmer	room
der Zoll	customs
zufrieden	satisfied
der Zug	train
zurück	back
zusammen	together
zwischen	between
