*** A (/course/2041639/goethe-zertifikat-b1-wortliste/1/)
ab	from
aufstehen	to get up
der Auftrag	order, commission, mission
auftreten	to appear, occur
der Auftritt	entrance, appearance (on stage)
aufwachen	to wake up
aufwärts	upwards
der Aufzug	lift
das Auge	eye
der Augenblick	moment
aus	out, out of, from
die Ausbildung	education, training, instruction
ausgebildet	trained, qualified, skilled
ausdrucken	to print out
der Ausdruck	print out; expression, term
die Ausdrucke	print outs
ausdrücken	to express
die Ausdrücke	expressions, terms
auseinander	apart
die Ausfahrt	exit, drive
ausfallen	to drop out, be cancelled
der Ausflug	outing, trip
ausfüllen	to fill out
die Ausgabe	distribution, edition, expenses
der Ausgang	exit
ausgeben	to spend
ausgehen	to go out, assume
ausgezeichnet	excellent, perfect
die Aushilfe	temporary help
die Auskunft	information
das Ausland	foreign country
der Ausländer	foreigner
ausländisch	foreign
ausmachen	to turn off, agree
die Ausnahme	exception
ausreichen	to be sufficient, last
ausreichend	sufficient, enough
ausrichten	to align, tell, adjust, convey a message
(sich) ausruhen	to rest
ausschließen	to exclude, rule out
ausschließlich	exclusive
aussehen	to seem, appear, look
außen	outside, outwards
außerhalb	outside, beyond
äußerlich	external
außer	except for
außerdem	besides, in addition
die Aussicht	view, perspective
aussprechen	to pronounce
die Aussprache	pronunciation
ausstellen	to exhibit, show
die Ausstellung	exhibition
(sich etwas) aussuchen	to select, pick out
auswählen	to select, choose
die Auswahl	choice
der Ausweis	identification (ID)
ausziehen	to undress, move to other place
das Auto	car, automobile
die Autobahn	motorway, expressway
der Automat	vending machine
automatisch	automatic
der Autor	author
die Autorin	author (fem.)
der Azubi	apprentice, trainee (male, short form)
der Auszubildende	apprentice, trainee (male, long form)
*** B (/course/2041639/goethe-zertifikat-b1-wortliste/2/)
backen	to bake
die Bäckerei	bakery
baden	to take a bath
das Bad	bath
die Badewanne	bathtub
die Bahn	train
die S-Bahn	city train
die Straßenbahn	tram
die U-Bahn	subway, underground, metro
der Bahnhof	train station
der Bahnsteig	platform
bald	soon
der Balkon	balcony
der Ball	ball
das Ballett	ballet
die Banane	banana
die Bank	bench; bank
die Bankleitzahl	bank code
die Bar	bar
bar	cash
das Bargeld	cash
der Bart	beard
der Basketball	basketball
basteln	to do handicrafts
die Batterie	battery
der Bauch	stomach
bauen	to build
der Bau	construction, building
die Baustelle	construction site
der Bauer	farmer
der Baum	tree
beachten	to obey, heed, comply with
der Beamte	officer
beantragen	to apply for
beantworten	to answer
sich bedanken	to thank
der Bedarf	need, demand
bedeuten	to mean
die Bedeutung	meaning, significance
bedienen	to serve, operate
die Bedienungsanleitung	operating instruction
die Bedingung	condition, stipulation
sich beeilen	to hurry os
beenden	to end
sich befinden	to be located
befreit	free
befriedigend	satisfied
begegnen	to meet, come across
begeistert	inspired
beginnen	to begin
der Beginn	beginning
begleiten	to accompany
begrenzt	limited, restricted
begründen	to justify
die Begründung	explanation, justification
begrüßen	to greet
behalten	to keep
behandeln	to treat
behaupten	to claim, assert, maintain
behindern	to hinder, impede
behindert	disabled
die Behörde	public authority, administrative body
bei	by, with, at
beid-	both
das Bein	leg
beinahe	almost, nearly
das Beispiel	example
beißen	to bite
der Beitrag	contribution
bekannt	well-known
die Bekannte	acquaintance (f.)
der Bekannter	acquaintance (m.)
bekannt geben	to announce
bekommen	to get, receive
der Beleg	record, receipt
beleidigen	to offend, hurt, insult
beliebt	popular
bemerken	to notice
sich bemühen	to make an effort
benötigen	to require
benutzen	to use
das Benzin	gasoline
beobachten	to observe, watch
bequem	comfortable
beraten	to advise, discuss
die Beratung	advice, discussion, consultation
berechnen	to calculate, charge
der Bereich	area, region
bereit	ready
bereits	already
der Berg	mountain
berichten	to report
der Bericht	report
der Beruf	profession
beruflich	professional
berufstätig	employed, working
beruhigen	to calm
berühmt	famous
beschädigen	to damage
beschäftigen	to employ, be busy, deal with
die Beschäftigung	employment, job, occupation
der Bescheid	information, reply
Bescheid sagen	to let somebody know (tell someone)
Bescheid geben	to let somebody know (give someone information)
beschließen	to decide
beschränken	to restrict
beschreiben	to describe
die Beschreibung	description
sich beschweren	to complaint
besetzen	to occupy
besetzt	occupied, engaged
besichtigen	to view something
besitzen	to occupy, fill
besichtigen	to have a look at visit
besonders	particularly, special
besonder-	particular, special (b..)
besorgen	to take care of
besprechen	to discuss, consult
die Besprechung	meeting, discussion
die Besserung	recovery
bestätigen	to confirm
die Bestätigung	confirmation, acknowledgement
bestehen	to exist, last, pass, win
bestellen	to order, reserve
bestimmt	certain, definite
bestrafen	to punish, sentence, fine
besuchen	to visit
der Besuch	visit
sich beteiligen	to take part, participate
der Betrag	amount, sum
betreuen	to look after
der Betreuer	carer
die Betreuung	care
der Betrieb	firm, concern, plant, operation
der Betriebsrat	workers' council
betrügen	to cheat
betrunken	drunk
das Bett	bed
die Bevölkerung	population
bevor	before
bewegen	to move
die Bewegung	movement
beweisen	to prove
der Beweis	proof, evidence
sich bewerben	to apply for
die Bewerbung	application
der Bewohner	inhabitant, occupant
bezahlen	to pay
die Beziehung	connection, relationship
die Bibliothek	library
das Bier	beer
bieten	to offer
das Bild	picture
der Bildschirm	screen
billig	cheap
die Biologie	biology
Bio	organic
biologisch	biological
die Birne	pear
bis	until
bisher	until now
ein bisschen	a bit
bitte	please
bitten	to request
die Bitte	request
bitter	bitter
blass	pale
das Blatt	leaf, sheet
bleiben	to stay
der Bleistift	pencil
der Blick	view
blind	blind
blitzen	to flash, flash lightning
der Blitz	lightning, flash
blond	blond
bloß	only, merely
blühen	to bloom, blossom
die Blume	flower
die Bluse	blouse
bluten	to bleed
das Blut	blood
der Boden	floor
der Bogen	curve, arch, bow; sheet of paper
die Bohne	bean
das Boot	boat
die Botschaft	embassy
böse	bad, evil, angry
braten	to fry
der Braten	roast, joint
brauchen	to need
brechen	to break
breit	wide
die Breite	width
bremsen	to brake
die Bremse	brake
brennen	to burn
der Brief	letter
der Briefkasten	mailbox
die Briefmarke	stamp
die Brieftasche	wallet
der Briefträger	postman
der Briefumschlag	envelope
die Brille	glasses
bringen	to bring
die Broschüre	brochure
das Brot	bread
das Brötchen	bread roll
die Brücke	bridge
der Bruder	brother
die Brust	breast, chest
das Buch	book
die Buchhandlung	bookshop
buchen	to book
buchstabieren	to spell
die Büchse	can, tin; rifle
der Buchstabe	letter (of the alphabet)
das Buffet	buffet
die Bühne	stage
bunt	colourful
die Burg	castle
der Bürger	citizen
die Bürgerin	citizen (fem.)
das Büro	office
die Bürste	brush
die Zahnbürste	toothbrush
der Bus	bus
die Butter	butter
*** C (/course/2041639/goethe-zertifikat-b1-wortliste/3/)
das Café	cafe
die Cafeteria	cafeteria
die Chance	chance
der Chef	head, boss
chic/ schick	stylish
der Coiffeur	hairdresser
die Couch	couch
die Creme	cream
der Cousin	cousin
*** D (/course/2041639/goethe-zertifikat-b1-wortliste/4/)
da	there
dabei	with it , there
das Dach	roof
dafür	for it
dagegen	against it, on the other hand
daher	from there, from that, that's why
dahin	go towards there, until then
damals	then, at that time
die Dame	lady
damit	with it
danach	after it, afterwards
daneben	beside it, next to it
danken	to thank
der Dank	thanks (sing. noun)
dankbar	thankful, grateful
danke	thanks
dann	then
darstellen	to depict, portray
die Darstellung	presentation, description
dass	that
die Datei	data, file
das Datum	date
die Daten	data
dauern	to last, take time
die Dauer	length of time
dauernd	constant, lasting
die Decke	ceiling; blanket
dekorieren	to decorate
denken	to think
der Gedanke	thought
das Denkmal	monument, statue
denn	because
derselbe	the same
deshalb	for that reason, that’s why
das Dessert	dessert
deswegen	therefore, that’s why
das Detail	details
deutlich	clear
die Diät	diet
der Dialekt	dialect
der Dialog	dialog
dicht	thick, dense
dick	thick, fat
der Dieb	thief, burglar
dienen	to serve
der Dienst	service, duty
dies-	this, that
diesmal	this time
digital	digital
das Ding	thing
das Diplom	diploma
direkt	direct
der Direktor	director
die Diskothek	disco
diskutieren	to discuss
die Diskussion	discussion
die Distanz	distance
doch	however, still
der Doktor	doctor
das Dokument	document
donnern	to thunder, crushed
der Donner	thunder
doppelt	double
Doppel	double
das Dorf	village
dort	there
dorthin	to there
die Dose	can,  container; electric plug (abbrev.)
draußen	outside
der Dreck	dirt, muck, filth, mud
drehen	to turn
dringend	urgent
drin/drinnen	inside, indoor
die Droge	drug
die Drogerie	drugstore
drüben	over there
drucken	to print
der Drucker	printer
drücken	to press, push
der Druck	pressure
dumm	stupid
dunkel	dark
dünn	thin
durch	through
durcheinander	confused, in a mess
die Durchsage	announcement
der Durchschnitt	average, on average
durchschnittlich	ordinary, average
dürfen	to be allowed
der Durst	thirst
durstig	thirsty
(sich) duschen	to have a shower
die Dusche	shower
duzen	say ‘du’ to sb
*** E (/course/2041639/goethe-zertifikat-b1-wortliste/5/)
eben	exactly, just, level, smooth
ebenfalls	likewise
ebenso	just as, as well
echt	real, really
die EC-Karte	EC card (bank card)
die Ecke	corner
eckig	square
egal	all the same
die Ehe	marriage
die Ehefrau	wife
der Ehemann	husband
das Ehepaar	(Ehemannmarried) couple
eher	sooner, rather, more
ehrlich	honest
das Ei	egg
eigen	own
eigentlich	actually, real, actual
sich eignen	to be suitable
eilen	to hurry
die Eile	haste
eilig	hasty, hurry
ein	a
die Einbahnstraße	one way street
einbrechen	to break in(to)
der Einbrecher	burglar
der Einbruch	break in
eindeutig	clear
der Eindruck	impression
einerseits	on the other hand
einfach	simple, simply
die Einfahrt	driving in, entrance, slip road
einfallen	to fall in, collapse
der Einfall	idea
der Einfluss	influence
beeinflussen	to influence
einfügen	to fit into, insert in
einführen	to bring in, introduce
die Einführung	introduction
der Eingang	entrance
einheitlich	uniform
einig	several
sich einigen	to agree on something
einkaufen	to shop
der Einkauf	shopping
das Einkommen	income
einladen	to invite
die Einladung	invitation
einmal	once
einnehmen	to take, take up
die Einnahme	revenue, takings, income
einpacken	to pack
einrichten	to establish, set up, furnish
die Einrichtung	furnishings, organisation, equipment
einsam	lonely, solitary
einschalten	to turn on
einschließlich	inclusive
das Einschreiben	registered mail/ post
einsetzen	to put, set, install
einsteigen	to board, get in
einstellen	to employ, take on, adjust
eintragen	to enter, put one's name down
eintreten	to enter, occur
der Eintritt	admission, entrance
einverstanden	agreed
der Einwohner	inhabitant
einzahlen	to pay in
die Einzahlung	payment
Einzel-	standalone
einzeln	single, odd (from a pair)
die Einzelheit	particular, detail
einzig	only, unique
einziehen	to move in, draw in, take in
das Eis	ice cream
die Eisenbahn	railway
elegant	elegant
elektrisch	electrical
Elektro	electric
elektronisch	electronic
die Eltern	parents
empfangen	to receive
der Empfang	reception
der Empfänger	receiver, recipient
empfehlen	to recommend
die Empfehlung	recommendation
enden	to end
das Ende	end
endgültig	final, definite
endlich	finally
die Energie	energy
eng	tight, narrow, close
der Enkel	grandson, grandchild
die Enkelin	granddaughter
entdecken	to discover
entfernen	to remove
die Entfernung	distance
entgegenkommen	to (come to) meet
enthalten	to contain
entlang	along
entlassen	to dismiss, discharge, fire
die Entlassung	discharge, dismissal, firing
entscheiden	to decide
die Entscheidung	decision
unentschieden	undecided
sich entschließen	to decide
entschlossen	determined, resolute
entschuldigen	to apologise
die Entschuldigung	apology
entsorgen	get rid of rubbish, throw away rubbish from a town
entspannend	relaxing
entstehen	to arise, result
enttäuschen	to disappoint
enttäuscht	disappointed
die Enttäuschung	disappointment
entweder...oder	either..or..
entwickeln	to develop
die Entwicklung	development
die Erde	earth
das Erdgeschoss	ground floor
das Ereignis	event
sich ereignen	to happen
erfahren	to learn, find out, experience
die Erfahrung	experience
erfinden	to invent
die Erfindung	invention
der Erfolg	success
erfolgreich	successful
erforderlich	required, necessary
erfordern	to require
erfüllen	to fulfil
ergänzen	to supplement, complete
das Ergebnis	result
erhalten	to receive
erhöhen	to increase, raise
die Erhöhung	increase
sich erholen	to rest, relax, recover
die Erholung	rest, relaxation, recovery
erinnern	to remember
die Erinnerung	memory
sich erkälten	to catch a cold
erkältet	have a cold
die Erkältung	cold
erkennen	to recognise
erklären	to explain
die Erklärung	explanation, declaration
sich erkundigen	to inquire (about)
erlauben	to allow
die Erlaubnis	permission
erleben	to experience, live through
das Erlebnis	experience
erledigen	to take care of, deal with
erleichtern	to make easier, lighten
die Ermäßigung	discount
ernähren	to feed, nourish
die Ernährung	nourishment
ernst	serious
ernsthaft	seriously
die Ernte	harvest
eröffnen	to open
die Eröffnung	opening
erreichen	to reach
erschöpft	exhausted
erschrecken	to scare, shock
ersetzen	to replace
der Ersatz	replacement
erst	first
erstellen	to erect, build
erwachsen	to grow up
der Erwachsene	adult
erwarten	to expect
erzählen	to tell
die Erzählung	story, tale
erziehen	to bring up, raise
die Erziehung	up bringing, education
es	it
essen	to eat
das Essen	food
der Essig	vinegar
die Etage	floor, storey of building
etwa	about
etwas	something
eventuell	possible
ewig	eternally
der Experte	expert
der Export	export
extra	extra
extrem	extreme
*** F (/course/2041639/goethe-zertifikat-b1-wortliste/6/)
die Fabrik	factory
das Fach	compartment, field of expertise, subject
der Fachmann	expert
die Fachleute	experts
die Fähigkeit	ability
fahren	to drive
die Fähre	ferry
die Fahrbahn	carriageway, roadway
der Fahrer	driver
die Fahrkarte	ticket
der Fahrplan	timetable
das Fahrrad	bicycle
das Fahrzeug	vehicle
fair	fair
der Faktor	factor
der Fall	case
fallen	to fall
fällig	due
falls	in case
falsch	false
die Familie	family
der Familienstand	marital status
fangen	to catch
die Fantasie / die Phantasie	fantasy
fantastisch	fantastic
die Farbe	colour
farbig-	colored
der Fasching	carnival
fassen	to grasp, catch, hold, take, understand
fast	nearly, almost
faul	lazy, rotten
faulenzen	to idle
fehlen	to be wanting, missing, absent
der Fehler	mistake
feiern	to celebrate
die Feier	celebration
der Feierabend	end of the working day
der Feiertag	public holiday
das Feld	field
das Fenster	window
die Ferien	holidays
die Fernbedienung	remote control
fernsehen	to watch television
das Fernsehen	television (broadcasting)
der Fernseher	television (set)
fertig	ready
fest	fixed, firm, solid, strong
das Fest	celebration, festival, party
die Festplatte	hard drive
festhalten	to hold on to, detain
festlegen	to fix, lay down
festnehmen	to capture, arrest
festsetzen	to determine
feststehen	to be certain
feststellen	to establish, detect
fett	fat
das Fett	fat
feucht	damp
das Feuer	fire
das Feuerzeug	lighter
die Feuerwehr	fire brigade
das Fieber	fever, temperature
die Figur	figure
der Film	film
finanzieren	to finance, be financed
finanziell	financial
finden	to find
der Finger	finger
die Firma	firm
flach	flat, low, shallow
die Fläche	area
die Flasche	bottle
der Fleck	stain, patch
das Fleisch	meat
der Fleischhauer	butcher
fleißig	diligent, industrious
flexibel	flexible
fliegen	to fly
fliehen	to flee
die Flucht	flight, escape
fließen	to flow
fließend	fluent
der Flohmarkt	flea market
die Flöte	flute
der Flug	flight
der Flughafen	airport
das Flugzeug	airplane
der Flur	hallway
der Fluss	river
die Flüssigkeit	fluid
die Folge	episode
folgen	to follow
folgend	following, next
fordern	to demand
die Forderung	demand
fördern	to promote, help
die Förderung	promotion
die Form	shape
das Formular	form (document)
die Forschung	research
die Fortbildung	further education
der Fortschritt	progress
fortsetzen	to continue
die Fortsetzung	continuation
das Forum	forum
fotografieren	to photograph
das Foto	photo
der Fotoapparat	camera
der Fotograf	photographer
die Fotografie	photography
fragen	to ask
die Frage	question
die Frau	woman
frech	cheeky
frei	free
im Freien	outdoors
die Freiheit	freedom
die Freizeit	free time
freiwillig	voluntary
fremd	foreign
die Fremdsprache	foreign language
fressen	to eat (for animals)
sich freuen	to be glad
die Freude	pleasure
der Freund	friend
freundlich	friendly
die Freundschaft	friendship
der Frieden	peace
frieren	to be cold
frisch	fresh
der Friseur	hairdresser
die Frisur	hair cut
die Frist	deadline
froh	happy, glad
fröhlich	happy
die Frucht	fruit
früh	early
früher	earlier
frühstücken	to have breakfast
das Frühstück	breakfast
fühlen	to feel
führen	to lead
der Führerschein	driving license
die Führung	guide, tour
das Fundbüro	lost property office
funktionieren	to function
für	for
furchtbar	terrible
der Fuß	foot
der Fußball	football
der Fußgänger	pedestrian
die Fußgängerzone	pedestrian area
(sich) fürchten	to be afraid
füttern	to feed sb. sth.
*** G (/course/2041639/goethe-zertifikat-b1-wortliste/7/)
die Gabel	fork
die Galerie	gallery
der Gang	walk, passage, aisle
ganz	complete, completely
gar	quite, at all
die Garage	garage
garantieren	to guarantee
die Garantie	guarantee
die Garderobe	cloakroom
der Garten	garden
das Gas	gas
der Gast	guest
das Gasthaus	guest house
die Gaststätte	restaurant
das Gebäude	building
geben	to give
das Gebäck	biscuit (UK); cake, pastry
das Gebiet	region
das Gebirge	mountains
geboren werden	to be born
gebrauchen	to use
die Gebrauchsanweisung	instruction manual
die Gebühr	fee
die Geburt	birth
der Geburtstag	birthday
das Gedicht	poem
die Geduld	patience
geehrt	Dear (Sir or Madam, in letters)
geeignet	suitable
die Gefahr	danger
gefährlich	dangerous
gefallen	to like (pp. fallen)
sich etwas gefallen lassen	to put up something
das Gefängnis	prison
das Gefühl	feeling
gegen	against
der Gegner	opposition, opponent
die Gegend	area, district
der Gegensatz	contrast
der Gegenstand	object
das Gegenteil	opposite
gegenüber	opposite
das Gehalt	salary
das Geheimnis	secret
geheim	secret
gehen	to go
gehören	to belong to
der Gehsteig	pavement, sidewalk
das Geld	money
der Geldautomat	cash machine
die Gelegenheit	opportunity
gelingen	to succeed
gelten	to be valid
gemeinsam	together
die Gemeinschaft	community
das Gemüse	vegetables
gemütlich	cosy
genau	exactly
genauso	exactly like
genehmigen	to approve, authorise
die Generation	generation
genießen	to taste, enjoy
genug	enough
genügen	to be enough
das Gepäck	luggage, baggage
gerade	straight
geradeaus	straight ahead
das Gerät	device
gerecht	just, fair
das Gericht	court; meal
gering	slight, small, low, short
gern	gladly
gesamt	whole
das Geschäft	business, shop
geschehen	to happen
das Geschenk	present, gift
die Geschichte	history
geschieden	divorced
das Geschirr	crockery, dishes, tablewares
das Geschlecht	sex, gender
der Geschmack	taste
die Geschwindigkeit	speed
die Geschwindigkeitsbeschränkung	speed limit
die Geschwister	siblings
die Gesellschaft	society
das Gesetz	law
das Gesicht	face
gespannt	tense, strained, curious, eager
das Gespräch	conversation, discussion
gestern	yesterday
gesund	healthy
gesundheit	health, bless you (after sneezing)
die Gesundheit	health
das Getränk	drink
die Gewalt	violence
die Gewerkschaft	union
das Gewicht	weight
gewinnen	to win
der Gewinn	prize, profit
das Gewissen	conscience
das Gewitter	thunderstorm
gewöhnen	to accustom, get used to
die Gewohnheit	habit
gewohnt	usual, used to
gewöhnlich	usual, ordinary, common
das Gewürz	spice
gießen	to water
das Gift	poison
giftig	poisonous
die Gitarre	guitar
das Glas	glass
glatt	smooth; slippery
glauben	to believe
gleich	equal, identical, the same
gleichfalls	likewise
gleichberechtigt	with equal rights
gleichzeitig	at the same time
das Gleis	platform
das Glück	luck
glücklich	happy, happily
der Glückwunsch	congratulations, best wishes
das Gold	gold
Golf	golf
der Gott	god
die Grafik	graph
das Gras	grass
gratulieren	to congratulate
die Gratulation	congratulations (singular)
gratis	free
greifen	to grasp, seize, grab
die Grenze	border
grillen	to grill (BBQ)
der Grill	grill
die Grippe	flu
groß	big
die Größe	size
gründen	to found
der Grund	ground
gründlich	thorough
das Grundstück	piece/ plot of land
die Gruppe	group
grüßen	to greet
der Gruß	greetings
gucken	to look
gültig	valid
günstig	good value
gut	good
die Gymnastik	gymnastics
*** H (/course/2041639/goethe-zertifikat-b1-wortliste/8/)
das Haar	hair
haben	to have
das Hackfleisch	minced meat
der Hafen	habour
hageln	to hail (weather)
das Hähnchen / das Hühnchen	chicken
halb	half
die Halbpension	half pension
halbtags	half day
die Hälfte	half
die Halle	hall
das Hallenbad	indoor swimming pool
hallo	hello
der Hals	throat
halt	stop
haltbar	durable, non-perishable
halten	to keep, hold
der Halt	stop (noun)
die Haltestelle	stop(ping place)
der Hammer	hammer
die Hand	the hand
der Handwerker	craftsman, workman, artisan
handeln	to deal, trade
der Handel	trade
der Händler	seller, dealer
das Handy	cell phone
hängen	to hang
hart	hard
hassen	to hate
hässlich	ugly
häufig	frequent, frequently
Haupt	main
die Hauptstadt	capital city
der Hauptbahnhof	main railway station
das Haus	house
die Hausaufgabe	homework
die Hausfrau	housewife
der Hausmann	househusband
der Haushalt	household
der Hausmeister	caretaker
das Haustier	pet
die Haut	skin
heben	to lift
das Heft	exercise book
heim	home
das Heim	home
die Heimat	homeland
heimlich	secretly
das Heimweh	home sickness
heiraten	to marry
heiß	hot
heißen	to be called
heizen	to heat
die Heizung	heating
der Held	hero
helfen	to help
die Hilfe	help
hell	light, bright
das Hemd	shirt
her	direction from, to
heraus	out (of)
die Herausforderung	challenge
der Herd	stove
herein	in (here), here
die Herkunft	origin
der Herr	man, gentleman
herstellen	to make, manufacture
der Hersteller	manufacturer
herunterladen	to download
herunterfahren	to come down, drive down, shot down
das Herz	heart
herzlich	cordial
heute	today
heutig-	today's
hier	here
hierher	this way, here
der Himmel	sky
herunter	downwards, down
herunterwerfen	to throw down
hinten	behind, at the back (h.., not "hinter")
hinter	behind, in back of (h.., not "hinten")
hinterlassen	to leave
hinterher	afterwards, after
hinweisen	to point to, to refer to
der Hinweis	hint
historisch	historical
die Hitze	heat
das Hobby	hobby
hoch	high
die Höhe	height, altitude; amount
hochladen	to upload
höchstens	at the most
die Hochzeit	wedding
der Hof	yard
der Bauernhof	farm
hoffen	to hope
hoffentlich	hopefully
die Hoffnung	hope
höflich	polite
holen	to get
das Holz	wood
der Honig	honey
hören	to hear
der Hörer	listener
die Hose	trousers
das Hotel	hotel
hübsch	pretty, nice
der Hügel	hill
der Humor	humor
der Hunger	hunger
hungrig	hungry
hupen	to hoot
husten	to cough
der Husten	cough
der Hut	hat
die Hütte	hut
*** I (/course/2041639/goethe-zertifikat-b1-wortliste/9/)
ideal	ideal
die Idee	idea
illegal	illegal
der Imbiss	snack
immer	always, still
der Import	import
in	in, into
indem	while, by
individuell	individual
die Industrie	industry
die Infektion	infection
informieren	to inform
die Information	information
der Ingenieur	engineer
der Inhalt	contents
inklusive	inclusive, inclusive of
innen	inside
inner-	internal
innerhalb	within, inside
die Insel	island
insgesamt	altogether, in all
das Inserat	advertisement
installieren	to install
das Institut	institute
das Instrument	instrument
integrieren	to integrate
die Integration	integration
intelligent	intelligent
die Intelligenz	intelligence
intensiv	intensive
der Intensivkurs	intensive course
interessieren	to have interest
interessant	interesting
das Interesse	interest
interessiert	interested
interkulturell	intercultural
international	international
das Interview	interview
inzwischen	meanwhile
irgendwann	sometime
irgendwas	something
irgendwo	somewhere
irgendwer	somebody
irgendein	some, any
sich irren	to be mistaken
*** J (/course/2041639/goethe-zertifikat-b1-wortliste/10/)
ja	yes
die Jacke	jacket
je	ever, each, every
je.. desto..	the.. the.. (comparison)
die Jeans	jeans
jeder	every
jederzeit	at any time
jedoch	however
jemals	ever
jemand	someone
jetzt	now
jeweils	each time
der Journalist	journalist
die Jugend	youth
der Jugendliche	young person, teenager
die Jugendherberge	youth hostel
jung	young
der Junge	boy
*** K (/course/2041639/goethe-zertifikat-b1-wortliste/11/)
das Kabel	cable
die Kabine	cabin, cubicle
der Kaffee	coffee
der Kakao	cocoa
der Kalender	calendar
kalt	cold
die Kälte	coldness, cold (weather)
die Kamera	camera
kämpfen	to fight
der Kampf	fight, struggle
der Kanal	canal
der Kandidat	candidate
die Kanne	can
die Kantine	canteen
das Kapitel	chapter
kaputt	broken
kaputtgehen	to get broken
kaputtmachen	to break
der Karneval	carnival
die Karotte	carrot
die Karriere	career
die Karte	card, menu, ticket, map
die Chipkarte	chipcard, smart card
die Fahrkarte	ticket (for transport)
die Kartoffel	potato
der Käse	cheese
die Kasse	till, cash register
die Kassette	cassette
der Kasten	case, box, crate
der Katalog	catalogue
die Katastrophe	catastrophe
(sich etwas) kaufen	to buy
der Kauf	buy
der Käufer	buyer
kaum	hardly, scarcely
kein-	none, not any
der Keller	cellar
der Kellner	waiter
